,row,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,65536,0,,0,17,0,8812800,850,,76,,132103.9,66965054926.29,2.19,3.45,6.05,381.26,5.55,32.28,11,0,0,10,0,0,0,0,0,0,0,0,10,0,0,42
1,131073,0,,0,17,0,10195200,492,3.0,83,100.0,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2,196616,0,,0,3,0,8845200,318,2.0,80,,1990.0,983806.5,0.71,0.99,15.67,42.89,0.67,0.35,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
3,327705,0,,0,14,0,8870400,1402,1.0,86,,34579.84,5909468817.89,3.33,10.99,9.78,766.58,6.11,45.92,24,11,0,62,14,107,0,27,0,0,0,0,58,31,0,123
4,98331,1,9.0,3,18,0,15350400,679,1.0,88,,96678.79,38465534678.8,1.9,2.42,27.72,2938.73,3.0,9.48,180,0,0,35,0,0,0,0,0,0,0,0,35,0,0,10
5,65569,0,,0,17,0,8812800,850,2.0,76,,,,,,7.9,490.89,4.48,19.21,32,0,0,6,0,0,0,0,0,0,0,0,5,0,0,11
6,65570,1,,0,17,0,8812800,850,1.0,76,,153957.43,95213181902.24,1.92,2.25,14.86,1868.45,4.43,20.49,110,6,0,18,1,40,0,8,0,0,0,0,23,3,0,39
7,327713,0,,0,14,0,8870400,1402,,86,,251057.12,189936734698.11,2.11,2.73,13.85,1209.54,4.32,21.08,260,10,0,25,14,22,0,6,0,0,0,0,22,10,0,37
8,393250,0,,0,14,0,5412600,495,5.0,96,40.0,,,,,25.32,5669.94,2.94,6.89,6,0,0,6,0,0,0,0,0,0,0,0,7,0,0,4
9,393255,2,,0,14,0,5412600,495,1.0,96,,188026.83,93445635348.47,1.4,0.34,6.69,382.78,4.78,23.28,2,0,0,7,0,0,0,1,0,0,0,0,8,1,0,25
10,131112,2,9.0,6,17,0,10195200,492,,83,,,,,,2.59,28.36,2.24,4.16,0,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0
11,98348,1,9.0,3,18,0,15350400,679,27.0,88,55.0,,,,,21.86,1286.98,1.88,1.8,4,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
12,196657,0,,0,3,0,8845200,318,1.0,80,,,,,,18.55,2011.4,3.74,14.95,89,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14
13,229431,0,,0,1,0,13262400,2613,1.0,32,,,,,,19.19,2055.32,3.72,13.41,36,0,0,6,0,0,0,2,0,0,0,0,7,2,0,15
14,131139,1,9.0,3,7,0,10339200,275,1.0,74,,226886.88,112069590450.11,1.29,0.07,12.51,1199.18,4.25,20.51,8,0,0,5,1,131,0,13,0,0,0,0,5,14,0,8
15,229445,1,,0,1,0,13262400,2613,1.0,32,,52591.0,13188964084.33,1.79,1.2,25.78,2136.32,2.78,8.59,34,0,0,4,0,0,0,0,0,0,0,0,5,0,0,2
16,163915,0,,0,11,0,5412600,632,1.0,91,,241560.6,193762892863.44,1.49,0.24,22.91,4369.96,3.45,10.6,15,0,0,7,0,0,0,0,0,0,0,0,7,0,0,8
17,131161,0,,0,7,0,10339200,275,3.0,74,100.0,41567.87,21688149889.66,4.62,20.97,16.93,1934.55,3.75,15.42,264,0,0,36,0,0,0,0,0,0,0,0,36,0,0,5
18,163932,1,8.0,3,11,0,5412600,632,1.0,91,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,196700,1,,0,3,0,8845200,318,,80,,82043.4,32007437789.57,2.12,3.1,15.38,1845.95,4.29,19.31,91,8,0,28,5,49,0,14,0,0,0,1,30,11,1,73
20,98400,0,,0,18,0,15350400,679,1.0,88,,65548.36,18941595916.05,2.9,8.23,37.05,3768.38,2.29,4.83,142,0,0,33,0,0,0,0,0,0,0,0,32,0,0,6
21,360568,1,,0,16,0,7401600,2431,1.0,25,,,,,,2.75,37.51,4.39,23.97,0,0,0,2,0,38,0,23,0,0,0,0,2,23,0,34
22,131193,1,8.0,7,7,0,10339200,275,1.0,74,,68903.97,33099904441.59,2.89,7.83,27.76,3447.02,2.81,7.77,222,7,0,4,6,56,0,1,0,0,0,0,4,1,0,3
23,196735,1,6.0,0,3,0,8845200,318,1.0,80,,69608.08,13567831551.97,2.08,3.53,18.66,2204.99,3.82,15.29,202,20,0,34,11,79,0,20,0,0,0,0,43,11,0,58
24,98438,2,8.0,4,18,0,15350400,679,1.0,88,,231392.5,188885148092.92,1.75,1.13,8.38,753.35,7.74,67.96,46,0,0,32,0,0,0,0,0,0,0,0,32,0,0,13
25,393352,0,,0,14,0,5412600,495,2.0,96,,111030.08,42909773042.99,1.79,1.78,12.0,1292.11,4.94,27.62,54,6,0,33,2,120,0,33,0,0,0,3,37,28,3,136
26,131217,1,7.0,6,7,0,10339200,275,17.0,74,64.0,23178.55,2783252856.07,2.21,3.43,17.67,2491.89,4.18,18.03,41,0,0,13,0,76,0,9,0,0,0,0,14,9,0,6
27,360621,0,,0,16,0,7401600,2431,1.0,25,,,,,,21.36,1589.69,2.73,5.7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
28,393393,0,,0,14,0,5412600,495,4.0,96,100.0,,,,,18.32,2516.94,3.59,12.11,3,0,0,8,0,0,0,0,0,0,0,0,8,0,0,5
29,360628,0,,0,16,0,7401600,2431,1.0,25,,,,,,17.4,720.24,2.4,4.85,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
30,229560,1,9.0,3,1,0,13262400,2613,1.0,32,,2549.0,5542881.5,0.27,1.64,16.69,1628.26,3.63,15.86,99,0,0,25,0,0,0,1,0,0,0,0,24,1,0,51
31,360633,0,,0,16,0,7401600,2431,,25,,,,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
32,164026,0,,0,11,0,5412600,632,2.0,91,,547.8,15499.76,0.13,1.52,12.92,951.08,4.34,20.4,13,1,0,21,1,6,0,0,0,0,0,0,21,0,0,72
33,65723,0,,0,17,0,8812800,850,1.0,76,,,,,,10.5,235.25,1.14,0.68,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
34,393407,1,9.0,6,14,0,5412600,495,5.0,96,40.0,143391.6,81629462348.24,1.5,0.25,22.03,2508.86,3.09,9.75,25,3,0,11,1,35,0,4,0,0,0,1,13,2,1,51
35,131265,1,8.0,3,7,0,10339200,275,1.0,74,,77522.56,42864266489.99,3.59,13.62,12.0,1156.42,5.79,36.64,320,0,0,28,0,14,0,1,0,0,0,0,28,1,0,7
36,196803,1,,3,3,0,8845200,318,,80,,,,,,11.19,649.15,2.33,3.58,1,0,0,3,0,0,0,0,0,0,0,0,3,0,0,9
37,131273,1,9.0,6,7,0,10339200,275,6.0,74,83.0,,,,,5.81,167.55,4.01,17.7,7,0,0,5,0,18,0,2,0,0,0,0,6,2,0,4
38,131275,0,,0,7,0,10339200,275,7.0,74,71.0,86248.0,67959665535.8,3.19,8.67,55.92,8123.66,1.37,0.28,90,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,196822,0,,0,3,0,8845200,318,2.0,80,,14879.83,993998211.81,1.79,1.2,16.99,917.93,3.73,21.39,285,0,0,27,0,0,0,0,0,0,0,0,27,0,0,31
40,65755,1,9.0,4,17,0,8812800,850,1.0,76,,,,,,2.2,1.36,0.36,1.37,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3
41,98531,2,,3,18,0,15350400,679,8.0,88,50.0,174174.29,27795126671.92,0.64,1.15,17.41,1703.06,2.7,5.7,24,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0
42,196839,0,,0,3,0,8845200,318,,80,,49457.4,7692403759.84,1.72,1.75,22.55,2465.13,3.59,13.12,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0
43,196841,0,,0,3,0,8845200,318,1.0,80,,99090.46,43715729001.48,1.85,1.53,26.64,3091.65,2.75,7.5,152,0,0,39,0,30,0,1,0,0,0,0,38,1,0,25
44,131311,0,,0,7,0,10339200,275,1.0,74,,,,,,46.04,6515.52,1.98,2.61,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,131313,2,8.0,3,7,0,10339200,275,1.0,74,,91930.31,62607605683.71,3.18,8.89,14.47,1532.08,3.93,16.38,37,0,0,17,0,46,0,6,0,0,0,1,17,6,1,5
46,229618,0,,0,1,0,13262400,2613,1.0,32,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,164085,0,,0,11,0,5412600,632,,91,,28382.58,1380146384.24,1.42,0.59,11.93,887.52,3.88,15.7,28,1,0,24,0,4,0,1,0,0,0,0,25,0,0,27
48,131319,0,,0,7,0,10339200,275,,74,,292131.0,291942057096.33,1.67,0.95,29.05,4239.79,2.82,7.07,50,1,0,14,0,18,0,1,0,0,0,0,15,1,0,4
49,98571,1,9.0,3,18,0,15350400,679,1.0,88,,94531.56,56238370818.25,3.54,11.29,19.16,1684.45,2.59,5.16,14,0,0,11,0,0,0,0,0,0,0,0,10,0,0,1
50,426253,0,,0,7,0,8078400,329,1.0,73,,,,,,35.0,1024.5,0.6,1.17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,131346,1,9.0,3,7,0,10339200,275,1.0,74,,,,,,13.34,613.13,2.29,5.07,0,0,0,0,0,70,0,1,0,0,0,0,0,1,0,0
52,426259,1,,3,7,0,8078400,329,5.0,73,100.0,,,,,11.58,531.4,3.0,8.17,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
53,360724,1,,0,16,0,7401600,2431,1.0,25,,,,,,9.81,459.7,4.69,23.56,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
54,98582,0,,0,18,0,15350400,679,7.0,88,57.0,178517.06,59663707790.64,1.82,2.23,29.95,3249.81,2.44,5.22,41,0,0,15,0,0,0,0,0,0,0,0,15,0,0,21
55,196892,0,,0,3,0,8845200,318,11.0,80,90.0,,,,,18.52,1555.13,2.89,7.35,30,0,0,12,0,0,0,0,0,0,0,0,12,0,0,11
56,196907,0,,0,3,0,8845200,318,,80,,,,,,4.62,66.73,2.86,7.5,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,6
57,131373,1,8.0,6,7,0,10339200,275,12.0,74,91.0,164255.55,85996562370.61,1.48,0.38,19.23,896.7,3.84,18.88,692,0,0,11,0,8,0,2,0,0,0,0,10,2,0,1
58,98606,1,9.0,4,18,0,15350400,679,4.0,88,100.0,,,,,53.6,4488.24,1.23,0.17,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,131374,2,9.0,3,7,0,10339200,275,2.0,74,,269177.0,207218814060.5,1.15,0.67,18.43,822.09,4.4,26.8,190,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2
60,426287,1,8.0,3,7,0,8078400,329,1.0,73,,,,,,25.06,3177.73,2.89,7.16,20,3,0,9,4,10,0,6,0,0,0,0,8,7,0,3
61,426289,0,,0,7,0,8078400,329,1.0,73,,,,,,8.75,192.48,2.4,4.89,52,0,0,4,0,0,0,0,0,0,0,0,4,0,0,1
62,65842,0,,0,17,0,8812800,850,,76,,28626.83,7769443167.64,3.01,7.06,24.3,2485.13,3.13,10.1,113,1,0,27,0,12,0,2,0,0,0,0,28,1,0,70
63,229683,1,,0,1,0,13262400,2613,1.0,32,,,,,,11.91,784.26,3.31,11.15,16,0,0,13,0,4,0,1,0,0,0,0,13,1,0,22
64,196915,0,,0,3,0,8845200,318,4.0,80,50.0,,,,,4.67,29.89,1.26,0.26,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2
65,327990,1,9.0,3,14,0,8870400,1402,1.0,86,,,,,,23.58,2634.66,2.47,4.35,1,0,0,5,0,0,0,1,0,0,0,0,5,1,0,5
66,131383,1,9.0,4,7,0,10339200,275,9.0,74,88.0,255717.6,154463925997.44,1.85,2.12,27.17,4522.47,3.35,10.2,16,0,0,3,0,3,0,0,0,0,0,0,2,1,0,2
