,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,2028,1,7,3,12,0,8899200,939,19,79,15,225742,1.0395E+11,1.69,1.93,22.82,2271.49,3.14,9.97,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,63
1,2187,0,,0,12,0,8899200,939,3,79,33,150599.25,1.24264E+11,2.21,3.42,17.71,830.96,2.37,5.56,49,0,0,6,0,0,0,0,0,0,0,0,7,0,0,26
2,3212,0,,0,17,0,10681200,344,5,82,60,127557.95,1.05308E+11,2.66,6.02,22.39,2330.7,3.07,9.74,217,9,0,25,1,104,0,17,0,0,0,0,33,9,0,89
3,3535,0,,0,17,0,10681200,344,1,82,,54580.03,7006276038,1.33,0.28,21.17,2324.04,3.28,11.07,81,11,0,28,2,119,0,18,0,0,0,0,37,9,0,72
4,4312,1,8,4,8,0,40750200,992,4,83,0,,,,,23.21,2349.14,4.28,20.59,14,0,0,6,0,0,0,0,0,0,0,0,6,0,0,19
5,4842,1,8,7,8,0,40750200,992,,83,,17382.75,1946442069,3.52,13.61,22.15,2684.16,3.62,13.85,159,12,0,58,8,129,0,10,0,0,0,0,63,6,0,45
6,5022,1,8,7,8,0,40750200,992,3,83,0,,,,,4.42,23.08,1.45,0.83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9
7,5386,2,9,5,8,0,40750200,992,7,83,42,61666.98,21630161335,2.62,5.6,15.26,1373.78,4.08,18.7,406,28,0,99,25,339,0,51,0,0,0,1,102,48,1,210
8,5702,0,,0,8,0,40750200,992,1,83,,38429.29,8486327902,3.53,11.95,24.19,1610.32,2.97,10.59,832,11,0,57,7,116,0,13,0,0,0,0,61,9,0,56
9,5997,2,7,5,8,0,40750200,992,3,83,33,29774.2,3127158627,2.68,7.74,26.33,2940.26,2.74,7.62,188,0,0,37,0,8,0,2,0,0,0,0,37,2,0,48
10,6887,1,8,3,12,0,9172800,247,4,74,25,,,,,3.15,0.99,30.15,1899.91,11583,0,0,9,0,0,0,0,0,0,0,0,9,0,0,11
11,7480,0,,0,16,0,10123200,447,3,71,33,98430.38,31869075147,2.15,2.84,14.06,1127.33,3.67,13.35,0,0,0,0,0,72,0,3,0,0,0,0,0,2,0,18
12,7501,0,,0,16,0,10123200,447,1,71,,30922.07,7752317311,3.08,7.92,13.19,1028.27,4.44,23.37,333,2,0,57,0,20,0,19,0,0,0,0,60,17,0,132
13,7511,1,11,1,16,0,10123200,447,5,71,20,96406.18,31145821333,1.78,1.93,17.02,2027.24,3.5,12.4,120,0,0,34,0,20,0,12,0,0,0,0,34,12,0,63
14,7565,0,,0,16,0,10123200,447,1,71,,47357.64,12941347741,2.98,7.71,16.78,1848.93,3.73,14.64,371,7,0,93,1,30,0,24,0,0,0,1,99,17,1,167
15,7595,1,,0,16,0,10123200,447,,71,,255113.86,1.06969E+11,1.26,0.21,9.55,856.04,4.92,28.35,132,1,0,40,0,39,0,19,0,0,0,0,41,18,0,97
16,7603,0,,0,16,0,10123200,447,2,71,,56449.33,8554589005,1.78,1.96,18.86,1491.55,3.57,15.23,376,0,0,41,0,22,0,18,0,0,0,1,41,18,1,78
17,7628,0,,0,16,0,10123200,447,2,71,,75991.08,17221908086,2.02,2.63,11.49,1419.33,4.9,25.79,477,3,0,40,1,30,0,27,0,0,0,1,42,25,1,92
18,7643,0,,0,16,0,10123200,447,1,71,,100453.75,31098598277,1.37,0.13,9.75,565.39,4.26,20.42,492,0,0,53,0,19,0,10,0,0,0,0,53,11,0,65
19,7662,0,,0,16,0,10123200,447,6,71,66,57600.72,15193334526,3.36,11.1,12.18,1583.23,4.98,25.51,88,1,0,44,0,33,0,27,0,0,0,1,45,26,1,183
20,7716,1,9,3,16,0,10123200,447,45,71,51,93569.17,14729660643,1.58,1.17,20.97,2425.09,3.63,13.94,10,1,0,7,0,35,0,11,0,0,0,0,8,10,0,79
21,7757,1,,6,16,0,10123200,447,1,71,,91945.88,47092735854,3.01,8.28,5.4,481.39,6.96,55.38,580,0,0,36,0,19,0,15,0,0,0,0,36,16,0,72
22,7879,0,,0,16,0,10123200,447,4,71,25,108497.92,24547874751,1.34,0.15,9.47,979.71,5.37,31.97,135,1,0,60,0,39,0,33,0,0,0,0,61,32,0,116
23,7926,2,9,6,16,0,10123200,447,2,71,,40707.18,12983450692,3.76,14.25,3.8,93.44,16.98,340.72,7339,1,0,116,0,49,0,58,0,0,0,2,117,57,2,267
24,7938,0,,0,16,0,10123200,447,2,71,,49162.3,9161503077,2.35,4.76,5.35,418.48,10.07,111.86,1309,1,0,60,1,37,0,28,0,0,0,0,60,28,0,175
25,7962,0,,0,16,0,10123200,447,,71,,81291.79,39728015258,3.49,11.25,18.91,1742.58,3.48,13.11,202,0,0,58,0,20,0,10,0,0,0,0,58,10,0,81
26,7969,0,,0,16,0,10123200,447,1,71,,54395.69,20280388267,3.21,9.2,14.04,1477.9,3.98,17.16,483,6,0,57,0,109,0,36,0,0,0,0,63,30,0,66
27,8008,1,,0,16,0,10123200,447,1,71,,81235,24918193690,1.51,0.3,10.8,903.23,4.86,26.95,331,3,0,66,2,79,0,24,0,0,0,0,67,23,0,111
28,8012,0,,0,16,0,10123200,447,1,71,,43052.9,11682362293,3.34,10.66,13.97,1681.55,4.25,19.07,240,0,0,128,0,54,0,24,0,0,0,0,129,24,0,176
29,8031,0,,0,16,0,10123200,447,4,71,50,287671.67,1.58905E+11,1.36,0.3,6.9,539.19,5.45,32.63,0,0,0,1,0,53,0,7,0,0,0,0,1,7,0,30
30,8057,0,,0,16,0,10123200,447,6,71,50,20458.89,1777003601,2.74,6.93,28.94,2552.36,2.44,5.88,234,0,0,28,0,9,0,5,0,0,0,0,28,5,0,62
31,8061,0,,0,16,0,10123200,447,1,71,,344155,1.37488E+11,0.75,1.15,14.43,1463.31,3.65,13.73,37,2,0,21,1,28,0,20,0,0,0,0,22,19,0,87
32,8186,2,9,0,16,0,10123200,447,1,71,,43151.79,11094402429,2.17,2.92,4.17,243.01,9.95,133.87,866,4,0,106,1,22,0,17,0,0,0,0,109,14,0,122
33,8209,0,,0,16,0,10123200,447,2,71,,55906.7,13116805716,3.09,9.43,14.11,1548.23,3.93,15.9,131,3,0,69,0,21,0,16,0,0,0,0,72,13,0,114
34,9057,2,9,3,11,0,11547000,498,1,75,,103303.35,48276171881,2.37,4.15,20.55,2016.51,3.22,11.09,306,11,0,14,9,111,0,9,0,0,7,3,16,7,3,126
35,9416,0,,0,11,0,11547000,498,,75,,75366.83,43653528953,3.12,8.29,13.69,1260.69,4.46,22.7,241,3,1,64,2,43,0,1,1,0,0,0,65,0,0,90
36,9449,0,,0,11,0,11547000,498,4,75,25,161095.5,1.32783E+11,2.22,3,3.6,75.61,25.08,662.75,5129,1,0,14,0,9,0,1,0,0,0,0,15,0,0,30
37,9640,0,,0,11,0,11547000,498,3,75,0,115246.77,1.34985E+11,3.16,8.04,18.06,2193.79,3.75,13.91,23,5,0,17,3,65,1,4,0,0,0,1,19,3,0,19
38,9802,1,9,3,11,0,11547000,498,3,75,33,13807.33,809048776.2,1.78,1.19,20.04,1820.24,2.7,6.56,45,1,0,14,1,1,0,0,0,0,0,0,15,0,0,27
39,9967,0,,0,18,0,10972740,1526,,73,,15725.77,1844601689,3.61,13.57,26.69,3583.32,2.77,6.95,829,74,0,57,72,220,0,24,0,0,0,0,59,22,0,151
40,10018,0,,0,18,0,10972740,1526,3,73,66,68702.05,49101471853,3.88,13.81,27.91,3184.25,2.53,5.76,168,38,0,14,39,58,0,10,0,0,0,0,13,12,0,71
41,10091,2,,0,18,0,10972740,1526,2,73,,9978.77,334621586.3,1.78,1.79,26.24,2812.83,2.65,6.65,438,56,0,28,61,108,0,10,0,0,0,0,23,15,0,109
42,10105,0,,0,18,0,10972740,1526,,73,,85447.73,1.23332E+11,4.34,16.92,3.77,461.99,8.37,76.05,3460,20,0,23,23,20,0,3,0,0,0,0,21,6,0,53
43,10210,1,9,5,18,0,10972740,1526,2,73,,184111.27,1.49465E+11,2.72,6.41,16.99,2137.38,4.1,17.44,138,21,0,22,18,37,0,12,0,0,0,0,25,9,0,93
