,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,850,0,,0,12,0,8899200,939,,79,,157348.83,132178725676.97,2.17,3.18,15.32,475.55,1.78,1.99,17,0,0,6,0,0,0,0,0,0,0,0,6,0,0,39
1,857,0,,0,12,0,8899200,939,,79,,5645.54,274554551.09,3.24,8.71,23.79,2741.69,2.89,8.35,75,0,0,14,0,0,0,0,0,0,0,0,15,0,0,34
2,904,1,9.0,3,12,0,8899200,939,20.0,79,80.0,81400.25,37562975240.29,2.09,2.56,16.52,2302.07,4.19,17.53,75,0,0,21,0,0,0,0,0,0,0,0,21,0,0,67
3,933,1,,0,12,0,8899200,939,8.0,79,100.0,101016.83,61736108310.47,2.57,5.17,33.56,4149.77,2.14,3.42,55,0,0,4,0,0,0,0,0,0,0,0,4,0,0,2
4,941,2,8.0,5,12,0,8899200,939,4.0,79,75.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,952,2,8.0,3,12,0,8899200,939,9.0,79,77.0,43551.8,6354376580.46,1.62,0.91,15.81,1444.27,4.24,20.36,113,0,0,17,0,0,0,0,0,0,0,0,17,0,0,65
6,956,0,,0,12,0,8899200,939,2.0,79,,85668.67,50421218672.7,3.42,10.75,17.01,2150.14,3.73,13.26,83,0,0,13,0,0,0,0,0,0,0,0,13,0,0,43
7,986,1,9.0,3,12,0,8899200,939,12.0,79,83.0,138461.2,91776854991.56,2.08,2.86,13.34,1291.35,3.7,12.97,37,0,0,5,0,0,0,0,0,0,0,0,5,0,0,24
8,1004,1,8.0,4,12,0,8899200,939,1.0,79,,,,,,27.28,2680.51,2.65,6.27,50,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4
9,1024,2,9.0,3,12,0,8899200,939,5.0,79,100.0,,,,,9.2,18.56,0.81,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10,1040,2,9.0,3,12,0,8899200,939,3.0,79,100.0,58785.66,41520437800.09,4.16,16.67,27.4,3126.06,2.76,7.24,261,0,0,23,0,0,0,0,0,0,0,0,23,0,0,31
11,1061,2,9.0,4,12,0,8899200,939,4.0,79,100.0,2874.0,17731775.33,1.62,0.84,31.89,3653.57,2.64,6.36,25,0,0,4,0,0,0,0,0,0,0,0,5,0,0,9
12,1131,2,8.0,4,12,0,8899200,939,1.0,79,,80139.87,28227094651.43,2.34,4.52,14.08,1452.93,4.5,22.69,323,0,0,24,0,0,0,0,0,0,0,0,25,0,0,60
13,1160,1,9.0,3,12,0,8899200,939,5.0,79,80.0,86809.89,62776155927.46,2.58,4.65,24.89,2886.57,2.96,8.61,218,0,0,15,0,0,0,0,0,0,0,0,15,0,0,39
14,1191,0,,0,12,0,8899200,939,4.0,79,75.0,83440.82,87276573130.86,4.36,18.42,29.2,3229.92,2.69,6.88,73,0,0,13,0,0,0,0,0,0,0,0,14,0,0,42
15,1195,0,,0,12,0,8899200,939,1.0,79,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1218,1,,4,12,0,8899200,939,5.0,79,100.0,107032.79,68968363600.6,2.67,5.85,23.94,1853.12,2.81,8.62,246,0,0,12,0,0,0,0,0,0,0,0,12,0,0,25
