,eid,gender,birth_year,edu_degree,course_category,course_type,course_duration,student_amount,course_amount,dropout_rate_of_course,dropout_rate_of_user,L_mean,L_var,L_skew,L_kurtosis,S_mean,S_var,S_skew,S_kurtosis,11,12,13,14,21,22,23,24,31,32,33,34,41,42,43,44
0,778,0,,0,12,0,8899200,939,1.0,79,,27972.63,8253178040.44,6.17,38.95,21.49,2007.98,3.29,11.76,808,0,0,110,1,0,0,3,0,0,3,1,109,4,1,196
1,803,1,7.0,4,12,0,8899200,939,2.0,79,,54389.18,22827840813.65,4.0,15.84,18.45,1947.74,3.6,13.67,175,0,0,45,0,0,0,0,0,0,0,0,45,0,0,116
2,807,1,9.0,3,12,0,8899200,939,4.0,79,50.0,130147.88,73988276452.23,2.52,5.53,18.58,2957.19,4.0,15.01,85,0,0,16,1,0,0,1,0,0,0,0,15,2,0,49
3,1032,2,9.0,5,12,0,8899200,939,3.0,79,33.0,91306.97,46076183785.45,2.56,5.29,24.23,2715.68,2.84,7.46,98,0,0,17,0,0,0,0,0,0,0,0,17,0,0,77
4,1337,2,9.0,3,12,0,8899200,939,3.0,79,33.0,106138.9,82594384638.69,2.65,5.06,23.13,3411.0,3.29,10.37,31,0,0,8,0,0,0,0,0,0,0,0,8,0,0,23
5,1603,0,,0,12,0,8899200,939,1.0,79,,52395.7,36767068733.52,4.35,17.31,17.14,1400.75,3.94,17.86,786,0,0,30,0,0,0,0,0,0,0,0,31,0,0,90
6,1700,1,6.0,0,12,0,8899200,939,9.0,79,55.0,97501.9,27358988143.62,1.95,2.57,21.15,1858.65,3.81,16.5,590,0,0,16,0,0,0,0,0,0,0,0,16,0,0,131
7,1725,0,,0,12,0,8899200,939,3.0,79,33.0,177583.62,105229012178.39,1.94,2.77,17.69,2212.81,3.58,13.2,107,0,0,7,0,0,0,0,0,0,0,0,7,0,0,38
8,1796,2,8.0,3,12,0,8899200,939,3.0,79,33.0,88331.18,77175804460.85,4.5,20.39,10.86,859.07,5.87,41.63,1546,0,0,20,0,0,0,0,0,0,0,0,20,0,0,142
9,2109,2,5.0,6,12,0,8899200,939,2.0,79,,51101.83,22209663243.84,5.29,30.82,20.2,1948.39,3.55,13.63,617,0,0,71,0,0,0,0,0,0,0,0,72,0,0,231
10,2301,2,9.0,3,12,0,8899200,939,2.0,79,,91619.81,66272997229.92,4.09,16.37,11.18,1220.33,5.06,28.96,211,0,1,20,0,0,0,0,0,0,0,1,21,0,0,106
11,2363,1,9.0,3,12,0,8899200,939,12.0,79,50.0,151060.89,383888003742.54,3.88,13.06,18.74,2398.72,3.58,13.35,60,0,0,22,0,0,0,0,0,0,0,0,22,0,0,43
12,2499,0,,0,12,0,8899200,939,1.0,79,,70996.44,99212153873.18,6.0,35.15,14.42,2152.07,4.5,20.0,130,0,0,21,0,0,0,0,0,0,0,0,21,0,0,98
13,2837,1,8.0,4,17,0,10681200,344,11.0,82,63.0,189913.06,88087627507.31,3.15,8.86,4.45,276.19,10.68,138.74,0,14,0,2,4,452,0,44,0,0,0,2,12,34,2,68
14,2889,0,,0,17,0,10681200,344,3.0,82,66.0,22717.34,2812152147.2,3.39,11.9,32.49,2993.34,2.48,6.21,215,11,0,9,2,120,0,19,0,0,0,0,18,10,0,56
15,2963,1,9.0,0,17,0,10681200,344,,82,,56187.96,8595043246.7,2.62,7.62,20.22,1869.47,3.15,10.14,254,2,1,16,4,32,0,14,0,0,3,17,15,16,16,173
16,3020,1,9.0,3,17,0,10681200,344,9.0,82,22.0,116276.95,97373022835.55,3.56,11.79,12.81,1046.19,4.21,19.64,37,7,0,12,7,52,0,3,0,0,0,0,12,3,0,25
17,3138,0,,0,17,0,10681200,344,6.0,82,66.0,53146.05,4600872386.2,1.39,1.47,14.74,1531.65,4.3,20.18,190,16,0,48,6,157,0,49,0,0,0,0,58,39,0,134
