,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,33,51,36,4,56,0,0,0,0,0,0,0,0,0,0,21,100,30,0,2,5
1,18,28,19,3,19,1,0,0,0,0,0,0,0,0,0,14,44,0,8,0,0
2,14,25,17,6,16,0,0,0,0,0,0,0,0,0,0,2,28,4,0,0,12
3,19,98,103,3,9,0,0,0,0,0,0,1,6,0,0,8,9,0,5,3,0
4,14,25,13,8,24,0,0,0,0,0,0,0,0,0,0,7,46,1,4,0,27
5,20,42,32,3,21,0,0,0,0,0,0,0,0,0,0,16,42,0,0,0,18
6,7,24,20,4,16,0,0,0,0,0,0,0,0,0,0,12,21,3,0,11,9
7,7,42,34,1,17,0,0,0,0,0,0,0,0,0,0,19,41,0,7,0,17
8,118,58,42,2,28,0,0,0,0,0,0,0,0,0,0,9,44,1,0,0,1
9,13,65,68,4,13,0,0,0,0,0,0,0,0,0,0,4,22,3,1,0,13
10,5,52,50,1,6,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,1
11,24,62,59,1,8,0,0,0,0,0,0,0,0,0,0,8,16,3,0,7,2
12,57,85,75,34,28,0,0,0,0,0,0,0,0,0,0,23,10,0,1,1,48
13,13,64,75,5,19,0,0,0,0,0,0,0,0,0,0,12,33,2,0,0,2
14,57,69,69,0,17,0,0,0,0,0,0,0,1,0,0,14,29,0,7,6,2
15,1,35,30,2,12,0,0,0,0,0,0,0,0,0,0,10,28,0,0,0,14
16,6,106,92,4,13,0,0,0,0,0,0,0,0,0,0,9,24,0,1,3,1
17,8,34,26,4,20,0,0,0,0,0,0,0,0,0,0,4,17,4,0,6,2
18,28,85,83,4,22,0,0,0,0,0,0,0,0,0,0,15,34,0,0,0,7
19,21,35,23,6,22,0,0,0,0,0,0,0,0,0,0,6,31,6,0,0,3
20,5,41,42,0,7,0,0,0,0,0,0,0,0,0,0,12,18,4,22,7,7
21,5,28,24,0,10,0,0,0,0,0,0,0,0,0,0,8,17,2,2,0,10
22,5,26,17,4,21,0,0,0,0,0,0,0,0,0,0,26,51,0,7,1,27
23,4,24,21,8,22,0,0,0,0,0,0,0,0,0,0,12,47,1,1,1,15
24,5,9,5,0,31,1,0,0,0,0,0,0,0,0,0,9,56,1,0,0,19
25,36,16,15,3,7,0,0,0,0,0,0,0,0,0,0,3,17,3,2,0,8
26,1,21,15,2,21,0,0,0,0,0,0,0,0,0,0,1,23,1,0,0,16
27,28,26,21,3,8,0,0,0,0,0,0,0,0,0,0,14,30,11,6,6,14
28,19,39,25,7,34,0,0,0,0,0,0,1,4,0,0,9,56,3,12,4,24
29,8,48,32,5,20,0,0,0,0,0,0,0,3,0,0,16,58,1,4,4,5
30,111,234,235,2,32,0,0,0,0,0,0,0,0,0,0,16,63,4,0,6,29
31,81,12,10,17,14,0,0,0,0,0,0,1,0,0,0,14,37,0,8,4,20
32,21,53,40,7,32,0,0,0,0,0,0,0,0,0,0,11,26,2,4,0,16
33,82,208,208,8,16,0,0,0,0,0,0,0,0,0,0,52,51,0,6,3,25
34,15,26,20,3,10,0,0,0,0,0,0,0,0,0,0,9,14,8,1,2,10
35,43,44,39,2,32,0,0,0,0,0,0,0,0,0,0,23,50,2,0,0,29
36,28,15,22,0,8,0,0,0,0,0,0,0,0,0,0,14,9,12,6,9,0
