id,course_id,start,end,course_type,category,interval
10353,course-v1:liaoningX+LNA2015000013506+2017_T1,2016/2/10 8:00,2066/1/1 0:00,0,,18223 
5334,course-v1:liaoningX+LNA20150000135+01,2019/6/1 8:00,2066/1/1 0:00,0,,17016 
5224,course-v1:cqujglx+cqu101+2016_T1,2030/1/1 0:00,2050/1/1 0:00,0,,7305 
9033,course-v1:TsinghuaX+rudang+2016_T2,2016/1/1 8:00,2030/1/1 0:00,0,,5114 
3962,course-v1:CIE+THU00004X+2015_T2,2016/2/1 8:00,2030/1/1 2:00,0,,5083 
3966,course-v1:CIE+60510162X+2015_T2,2016/2/1 8:00,2030/1/1 1:30,0,,5083 
3958,course-v1:CIE+THU00021X+2015_T2,2016/2/1 8:00,2030/1/1 1:30,0,,5083 
7625,course-v1:JLUx+0000045603+SP,2016/9/26 8:00,,1,,
8657,course-v1:TsinghuaX+00680082_1X_p1+sp,2016/12/1 8:00,,1,philosophy,
3959,course-v1:CIE+THU00011X+2015_T2,2016/2/1 8:00,2030/1/1 1:30,0,,5083 
3960,course-v1:CIE+THU00015X+2015_T2,2016/2/1 8:00,2030/1/1 0:30,0,,5083 
3964,course-v1:CIE+THU00016X+2015_T2,2016/2/1 8:00,2030/1/1 0:30,0,,5083 
3963,course-v1:CIE+THU00005X+2015_T2,2016/2/1 8:00,2030/1/1 0:30,0,,5083 
3961,course-v1:CIE+THU00009X+2015_T2,2016/2/1 8:00,2030/1/1 0:00,0,,5083 
3965,course-v1:CIE+THU00003X+2015_T2,2016/2/1 8:00,2030/1/1 0:00,0,,5083 
4667,course-v1:TsinghuaX+80515182X+2016,2016/5/7 8:00,2030/2/22 0:00,0,,5039 
10988,course-v1:SDJTU+lyh+2017_T2,2017/4/1 8:00,2030/8/31 23:30,0,,4901 
11826,course-v1:GUANGXIUNIVERSITYOFFINANCEANDECONOMICS+0122203220+2017_T1,2017/9/1 8:00,2030/12/31 23:30,0,,4870 
10956,course-v1:SDJTU+070348+2016-2017T2,2017/3/6 8:30,2030/6/19 17:30,0,,4853 
9248,course-v1:TsinghuaX+00612642X_p6+sp,2017/1/13 9:30,,1,history,
6925,course-v1:NUDT+520804502+2016_T2,2017/10/8 8:00,2030/12/8 0:00,0,engineering,4809 
11611,course-v1:TsinghuaX+02070012X+2017_T1,2017/1/1 8:00,2030/1/1 0:00,0,,4748 
11365,course-v1:CQU+TSJYHG00038+2017_T1,2018/5/1 0:00,2028/5/1 0:00,0,,3653 
2296,course-v1:TsinghuaX+00720091X+sp,2015/3/24 9:00,,1,,
11922,course-v1:SDJTU+MOOC_REC+2017_T1,2017/6/1 8:00,2027/6/1 8:00,0,,3652 
261,USTC/MOOC002/2014_T2,2014/3/19 7:00,2020/5/14 7:00,0,,2248 
11150,course-v1:xuetangX+sx001+2010_T1,2012/1/1 8:00,2017/12/31 0:00,0,,2191 
813,USTC/MOOC101/2014_T2,2014/12/12 7:30,2020/11/30 0:00,0,,2180 
8734,course-v1:qf+11+201703,2010/1/8 8:00,2015/10/2 0:30,0,,2093 
