,0.000000 
L_skew,(0.113954)
34,0.045950 
31,0.041292 
21,0.036472 
24,0.019201 
41,0.011254 
L_kurtosis,0.008217 
dropout_rate_of_course,0.005921 
dropout_rate_of_user,0.004553 
edu_degree,0.001977 
course_amount,0.001322 
course_category,0.000848 
33,0.000360 
S_kurtosis,0.000189 
student_amount,0.000017 
S_var,0.000006 
course_type,0.000000 
L_var,0.000000 
course_duration,(0.000000)
L_mean,(0.000001)
11,(0.000008)
22,(0.000021)
44,(0.001024)
birth_year,(0.001563)
S_mean,(0.001601)
14,(0.011173)
S_skew,(0.011187)
gender,(0.015813)
23,(0.017854)
42,(0.020169)
32,(0.024002)
12,(0.036749)
43,(0.052341)
13,(0.075073)
