,0,1,2,3
0,232,0,7,24
1,163,0,0,42
2,114,0,0,6
3,154,0,0,35
4,212,0,1,57
5,92,0,0,32
6,107,0,0,45
7,95,0,0,69
8,67,0,0,38
9,50,1,0,84
10,77,0,0,32
11,59,0,0,41
12,86,0,0,80
13,73,0,0,49
14,87,0,0,17
15,144,0,0,45
16,69,0,0,65
17,99,0,0,18
18,68,0,0,61
19,93,0,0,51
20,298,0,0,23
21,182,0,0,111
22,87,0,0,42
23,96,0,0,84
24,112,0,0,105
25,111,0,0,13
26,67,0,0,87
27,645,0,0,37
28,61,34,0,28
29,221,72,0,55
30,215,67,0,121
31,69,113,0,83
32,52,34,0,37
33,120,1,0,34
34,232,4,0,50
35,55,46,0,82
36,86,19,0,20
37,55,45,0,29
38,118,84,0,57
39,105,81,0,113
40,76,24,0,60
41,58,27,0,61
42,83,3,0,30
43,68,0,0,47
44,153,28,0,16
45,262,63,0,98
46,109,0,0,41
47,0,129,0,0
48,102,8,0,38
49,278,75,0,16
50,161,0,0,73
51,32,34,3,165
52,204,86,0,104
53,139,19,0,23
54,53,28,0,41
55,96,0,0,19
56,24,463,0,89
57,0,169,0,0
58,445,11,0,116
59,428,209,1,326
60,117,8,1,100
61,69,29,0,45
62,116,1,0,46
63,97,20,0,8
64,811,57,0,113
65,0,189,0,0
66,118,42,0,67
67,178,2,0,70
68,173,45,0,122
69,208,5,0,16
70,47,36,0,24
71,49,2,0,56
72,0,373,0,0
73,191,6,0,59
74,51,6,0,59
75,94,6,0,44
76,202,0,0,48
77,114,103,0,178
78,82,2,0,80
79,137,44,0,109
80,39,8,0,55
81,75,2,0,59
82,307,20,0,192
83,109,13,0,90
84,387,27,1,204
85,96,0,0,43
86,123,29,0,120
87,361,14,1,100
88,385,30,1,114
89,39,16,0,65
90,415,17,0,109
91,101,29,1,212
92,17,35,0,92
93,137,0,0,65
94,59,6,2,59
95,344,15,0,97
96,119,24,0,104
97,76,24,0,85
98,68,9,0,68
99,168,11,0,130
100,63,3,0,50
101,145,27,0,156
102,93,0,0,32
103,216,14,0,124
104,360,89,0,138
105,291,65,0,178
106,265,41,0,216
107,104,28,0,70
108,227,7,0,82
109,48,20,0,111
110,103,34,0,86
111,53,0,0,66
112,693,17,0,170
113,143,14,0,161
114,67,4,0,68
115,889,0,0,29
116,58,71,0,39
117,61,60,0,26
118,244,61,10,145
119,81,0,0,26
120,79,7,0,56
121,62,1,0,46
122,249,25,1,141
123,43,29,0,26
124,35,38,1,38
125,82,49,1,70
126,75,20,0,26
127,171,100,0,89
128,328,154,0,66
129,410,140,0,142
130,112,9,0,50
131,250,112,0,81
132,155,56,0,110
133,387,183,0,31
134,356,286,0,131
135,265,103,0,98
136,107,28,0,47
137,59,11,0,41
138,68,31,0,20
139,33,5,0,65
140,359,96,0,47
141,279,52,0,27
142,256,40,0,113
143,129,36,0,72
144,73,13,0,23
145,90,4,0,32
146,429,240,0,121
147,246,19,0,25
148,70,339,0,133
149,234,85,0,60
150,118,35,0,14
151,152,29,0,34
152,342,19,0,100
153,199,53,0,27
154,428,118,0,136
155,57,106,0,29
156,262,58,0,64
157,368,22,0,67
158,208,114,0,54
159,97,128,0,43
160,437,29,0,182
161,130,19,0,45
162,29,30,0,42
163,132,0,0,74
164,44,0,1,70
165,657,28,0,67
166,176,20,0,13
167,120,8,0,29
168,145,48,0,67
169,146,17,0,45
170,529,96,0,86
171,205,100,0,60
172,200,73,0,14
173,548,38,0,228
174,84,16,0,28
175,45,7,1,64
176,117,44,0,47
177,92,19,0,50
178,267,33,0,53
179,310,33,0,18
180,269,125,0,62
181,185,30,0,50
182,118,24,0,73
183,145,36,0,103
184,60,8,1,41
185,99,11,0,64
186,73,55,0,80
187,110,70,0,43
188,365,18,1,73
189,573,48,3,77
190,74,25,0,24
191,505,123,0,157
192,84,7,0,18
193,75,14,0,46
194,88,18,0,29
195,79,1,0,26
196,185,36,0,59
197,237,38,0,27
198,268,87,0,123
199,168,9,0,43
200,379,31,0,98
201,101,22,0,68
202,334,89,3,226
203,90,12,0,62
204,78,72,0,31
205,386,33,0,73
206,67,6,0,26
207,110,43,0,29
208,133,42,0,70
209,17,44,0,38
210,263,57,0,96
211,141,66,0,104
212,36,16,0,46
213,196,15,0,54
214,143,19,0,20
215,211,86,0,45
216,183,30,0,58
217,120,10,0,56
218,29,99,0,27
219,78,11,0,28
220,216,80,0,27
221,167,37,1,17
222,576,99,5,122
223,258,127,1,95
224,109,5,0,71
225,55,69,0,34
226,200,50,0,20
227,46,46,0,20
228,93,18,0,14
229,123,36,0,29
230,112,36,0,13
231,228,62,0,26
232,262,79,0,31
233,145,35,0,16
234,728,72,0,88
235,89,6,0,9
236,658,136,0,84
237,231,49,0,28
238,318,49,0,40
239,113,32,0,1
240,336,113,0,70
241,202,50,0,23
242,269,114,0,5
243,94,17,0,12
244,228,28,7,36
245,407,34,1,31
246,290,38,0,24
247,434,126,0,73
248,118,28,0,5
249,100,30,0,20
250,114,36,0,17
251,217,5,0,14
252,116,31,0,50
253,173,68,0,19
254,135,64,0,1
255,147,25,0,17
256,71,17,0,18
257,122,19,0,5
258,132,25,0,8
259,77,0,0,28
260,159,48,0,22
261,119,32,0,25
262,137,10,0,18
263,185,0,0,15
264,503,117,7,52
265,282,89,0,4
266,426,56,0,65
267,215,77,1,32
268,164,34,0,9
269,87,17,0,19
270,155,9,0,2
271,181,74,0,45
272,62,33,0,15
273,160,34,0,14
274,201,74,0,20
275,236,85,0,70
276,95,23,0,24
277,98,27,0,23
278,51,114,0,30
279,152,5,0,23
280,81,26,0,1
281,51,4,0,51
282,81,4,0,44
283,89,30,0,23
284,274,53,0,53
285,103,2,0,62
286,5,32,13,80
287,89,7,0,93
288,217,5,0,67
289,114,5,0,27
290,99,1,0,19
291,381,3,0,50
292,121,5,0,15
293,103,6,0,73
294,109,4,0,18
295,227,5,0,132
296,69,11,0,60
297,42,39,0,96
298,209,31,0,91
299,80,26,0,21
300,48,36,0,20
301,101,31,0,60
302,189,165,0,142
303,148,228,1,191
304,274,0,0,13
305,88,14,2,138
306,127,0,0,17
307,84,4,0,20
308,43,0,0,71
309,0,105,0,7
310,120,78,0,32
311,74,0,0,29
312,78,0,0,33
313,115,12,0,12
314,107,32,0,32
315,72,0,0,33
316,94,36,0,44
317,83,134,0,101
318,136,53,2,68
319,103,2,0,40
320,162,0,0,74
321,0,175,0,0
322,214,33,0,174
323,65,26,0,83
324,92,18,0,53
325,1,111,0,19
326,65,19,0,70
327,167,2,0,103
328,212,2,0,102
329,68,26,0,34
330,107,11,0,56
331,50,1,0,50
332,209,10,0,91
333,68,0,0,84
334,101,19,0,43
335,480,42,0,466
336,21,75,0,29
337,150,15,0,66
338,200,14,0,90
339,37,25,0,58
340,200,19,0,44
341,250,69,0,100
342,247,88,0,129
343,66,25,0,40
344,545,16,0,117
345,79,4,0,48
346,124,20,0,49
347,699,0,0,12
348,47,2,3,77
349,330,63,0,86
350,17,27,0,71
351,64,2,0,32
352,68,0,0,36
353,121,51,0,132
354,135,116,0,165
355,109,28,0,56
356,118,0,0,50
357,30,48,0,60
358,79,0,0,28
359,99,96,0,139
360,728,14,0,169
361,98,62,0,59
362,15,55,0,42
363,61,0,0,47
364,193,24,0,90
365,129,210,0,107
366,12,107,0,61
367,75,10,0,63
368,0,104,0,0
369,23,47,0,66
370,19,133,0,92
371,81,10,1,45
372,49,11,0,49
373,250,0,0,71
374,85,0,0,38
375,65,0,0,56
376,98,0,0,28
377,150,0,0,55
378,64,0,0,56
379,596,0,0,136
380,83,0,0,59
381,194,0,0,91
382,63,0,0,49
383,238,0,0,76
384,79,0,0,33
385,109,0,0,52
386,59,0,0,46
387,148,0,0,27
388,53,0,0,76
389,63,0,0,39
390,69,0,0,40
391,119,0,0,67
392,940,0,0,18
393,181,0,0,133
394,85,0,5,64
395,89,0,0,25
396,121,0,0,62
397,84,0,0,53
398,68,0,0,64
399,117,0,0,41
400,78,0,0,111
401,448,0,0,243
402,191,0,0,54
403,747,0,0,230
404,163,0,0,99
405,80,0,0,25
406,317,0,0,127
407,141,34,0,2
408,194,52,0,47
409,132,105,0,35
410,72,99,0,48
411,92,12,0,15
412,125,2,0,13
413,277,92,0,43
414,82,13,0,19
415,204,36,0,1
416,116,168,1,55
417,185,35,0,20
418,152,92,0,42
419,165,0,0,37
420,128,134,0,48
421,280,62,0,2
422,96,3,0,22
423,400,206,7,142
424,80,32,0,26
425,78,70,0,26
426,77,15,0,19
427,168,122,0,41
428,191,106,0,40
429,176,106,0,69
430,246,151,1,21
431,120,1,0,5
432,58,41,0,2
433,76,15,0,19
434,309,3,0,21
435,268,21,0,48
436,331,58,0,64
437,82,0,0,21
438,103,19,0,8
439,215,1,0,2
440,28,82,0,15
441,88,21,0,36
442,150,0,0,2
443,482,0,0,2
444,96,25,0,4
445,11,82,0,44
446,109,0,0,20
447,76,34,1,25
448,173,18,0,26
449,591,186,8,10
450,154,60,0,52
451,88,0,0,48
452,117,1,0,13
453,100,0,0,0
454,98,0,0,29
455,234,2,0,13
456,128,0,0,19
457,223,1,0,12
458,121,0,0,5
459,132,2,0,56
460,101,1,6,19
461,101,1,0,7
462,104,0,0,0
463,285,0,1,24
464,76,16,0,25
465,73,0,0,29
466,116,1,0,2
467,85,1,0,28
468,155,0,0,8
469,104,0,0,0
470,144,0,0,5
471,116,2,0,5
472,138,2,0,6
473,136,0,0,5
474,106,1,0,13
475,155,0,0,36
476,90,0,0,59
477,110,0,0,1
478,529,2,0,10
479,695,3,1,45
480,94,0,0,6
481,408,0,0,2
482,177,0,0,48
483,86,3,0,32
484,85,0,0,20
485,97,0,0,5
486,757,1,0,6
487,159,0,0,40
488,167,0,0,1
489,131,2,0,9
490,86,0,0,32
491,859,3,0,4
492,106,3,0,18
493,105,2,0,7
494,154,0,0,8
495,90,29,0,43
496,45,44,0,20
497,94,49,0,31
498,27,22,1,51
499,120,13,0,21
500,308,34,0,35
501,138,26,0,57
502,55,31,0,24
503,94,35,0,57
504,63,17,0,37
505,30,36,0,66
506,11,219,0,135
507,1,52,0,45
508,139,10,2,68
509,26,22,0,102
510,79,21,0,45
511,107,3,0,34
512,274,12,1,95
513,5,184,0,52
514,155,0,0,151
515,463,21,0,162
516,91,7,0,27
517,170,13,0,76
518,73,0,0,34
519,162,4,0,52
520,3,531,0,44
521,13,10,0,76
522,46,7,0,68
523,79,16,0,122
524,74,1,0,27
525,21,6,0,72
526,130,29,0,29
527,153,140,0,122
528,14,155,0,25
529,333,162,0,47
530,272,49,2,222
531,3,257,26,106
532,97,20,0,10
533,451,15,0,39
534,272,58,4,133
535,177,20,0,53
536,48,37,0,39
537,203,0,0,13
538,107,48,2,65
539,218,120,0,54
540,169,21,0,16
541,513,32,0,32
542,115,2,0,44
543,438,164,0,163
544,76,9,0,16
545,84,41,0,40
546,10,82,0,35
547,111,0,0,4
548,92,10,0,49
549,151,0,0,12
550,91,52,0,39
551,436,40,0,99
552,67,0,0,42
553,109,19,0,38
554,90,46,0,58
555,102,15,0,19
556,286,95,0,166
557,74,51,0,79
558,209,88,0,43
559,53,8,0,40
560,63,1,2,43
561,182,76,2,50
562,97,1,0,39
563,186,58,0,36
564,287,8,0,53
565,116,6,0,10
566,553,136,10,156
567,182,119,0,40
568,103,49,0,35
569,1,164,0,17
570,45,20,1,77
571,115,39,0,68
572,129,18,0,173
573,70,20,1,78
574,55,19,0,42
575,56,23,0,69
576,18,23,0,68
577,141,11,0,25
578,85,30,0,92
579,84,11,0,54
580,8,94,0,30
581,63,37,0,114
582,53,30,0,45
583,61,16,0,75
584,159,10,0,79
585,70,9,0,66
586,54,7,0,68
587,148,11,0,47
588,336,20,0,95
589,103,12,0,53
590,308,16,0,113
591,99,50,0,161
592,70,18,0,23
593,51,19,0,122
594,133,11,0,84
595,121,10,0,69
596,49,3,0,48
597,131,8,0,135
598,259,10,0,115
599,82,2,0,35
600,79,12,0,29
601,271,13,0,148
602,105,4,0,42
603,298,29,0,98
604,41,8,0,72
605,412,0,0,43
606,198,7,0,60
607,121,0,0,19
608,245,9,0,40
609,189,21,0,159
610,160,11,0,56
611,22,2,0,110
612,478,17,0,196
613,95,21,1,99
614,258,15,0,116
615,140,18,0,31
616,48,3,0,77
617,153,6,0,71
618,191,20,0,78
619,187,4,0,102
620,373,12,6,303
621,151,0,0,17
622,112,13,0,81
623,228,11,0,98
624,109,7,0,48
625,76,11,2,67
626,139,0,0,17
627,112,22,0,101
628,148,0,0,89
629,241,15,0,62
630,214,18,0,152
631,477,9,0,64
632,165,13,0,68
633,85,11,0,96
634,151,10,0,83
635,314,18,0,88
636,52,0,0,54
637,36,12,0,83
638,61,0,0,59
639,68,9,0,52
640,44,7,0,61
641,60,6,0,38
642,452,17,0,91
643,52,1,0,70
644,57,0,0,64
645,93,0,0,64
646,98,0,0,17
647,62,0,0,67
648,115,4,0,58
649,104,0,0,53
650,122,12,1,56
651,135,4,0,9
652,77,13,0,59
653,250,13,0,149
654,6,94,0,44
655,114,24,0,30
656,110,61,0,37
657,97,0,0,45
658,76,0,0,54
659,114,0,0,85
660,57,0,0,42
661,95,0,0,21
662,178,2,0,211
663,206,4,0,189
664,79,0,0,76
665,147,3,1,210
666,185,0,0,123
667,123,8,0,91
668,253,1,0,46
669,247,0,0,32
670,67,28,0,82
671,8,97,0,33
672,258,44,0,88
673,37,37,0,25
674,60,44,0,19
675,26,38,0,64
676,100,0,0,18
677,131,64,0,61
678,101,38,0,91
679,694,118,0,165
680,95,1,0,79
681,164,179,0,171
682,115,18,0,34
683,233,50,0,132
684,241,60,0,46
685,29,119,0,79
686,58,71,0,117
687,155,20,0,24
688,73,0,0,39
689,4,84,0,60
690,51,81,0,92
691,142,46,0,82
692,72,0,0,67
693,61,18,0,50
694,1,174,0,1
695,95,87,0,93
696,210,73,0,95
697,58,57,0,122
698,431,108,0,155
699,133,66,0,128
700,93,35,0,66
701,58,13,0,30
702,143,15,0,69
703,100,20,0,28
704,46,35,0,41
705,7,90,0,18
706,566,171,0,226
707,102,32,0,86
708,68,15,0,17
709,140,61,0,94
710,30,58,1,92
711,10,96,1,48
712,75,30,0,55
713,1,141,0,22
714,32,8,0,68
715,137,40,1,98
716,61,25,0,35
717,150,107,0,84
718,312,61,0,127
719,31,20,0,56
720,272,72,0,110
721,76,57,0,49
722,275,90,0,100
723,371,88,0,128
724,38,19,0,49
725,288,57,0,121
726,117,92,0,117
727,124,8,0,32
728,175,70,0,155
729,89,94,0,64
730,137,90,0,211
731,155,16,0,67
732,54,27,0,48
733,53,31,0,84
734,101,20,0,72
735,80,48,0,35
736,96,73,0,197
737,198,105,24,99
738,113,122,0,44
739,327,98,0,119
740,92,68,1,76
741,55,60,0,66
742,179,80,0,152
743,71,42,0,37
744,9,109,0,33
745,61,9,0,28
746,105,93,1,60
747,107,22,0,40
748,148,113,0,61
749,84,56,0,56
750,1,109,0,15
751,155,36,0,81
752,107,29,0,61
753,106,30,0,78
754,35,85,0,38
755,76,13,0,35
756,259,18,0,61
757,0,112,0,0
758,68,41,0,52
759,101,25,0,50
760,0,112,0,0
761,97,6,0,80
762,22,56,5,33
763,67,29,0,53
764,49,33,0,35
765,49,23,0,33
766,0,152,0,0
767,167,54,0,120
768,47,39,0,37
769,127,61,0,102
770,100,17,0,61
771,48,29,0,42
772,42,55,0,74
773,0,136,0,0
774,368,90,0,50
775,19,50,0,45
776,658,100,0,178
777,79,14,0,32
778,119,102,0,99
779,82,17,0,84
780,93,12,0,73
781,66,1,0,38
782,27,54,0,47
783,152,16,0,80
784,455,102,0,123
785,230,23,0,138
786,153,107,1,72
787,84,7,0,41
788,284,100,0,246
789,107,11,0,55
790,262,66,0,204
791,30,70,0,16
792,188,15,2,64
793,99,6,0,37
794,114,1,0,17
795,390,10,0,47
796,107,5,0,34
797,133,36,0,122
798,166,0,0,38
799,94,0,0,25
800,87,0,0,36
801,447,0,0,109
802,213,0,0,86
803,110,0,0,60
804,189,0,0,65
805,89,0,0,64
806,46,0,0,67
807,48,0,0,58
808,198,0,0,104
809,126,0,0,92
810,189,0,0,24
811,153,0,6,101
812,470,0,0,80
813,61,0,0,45
814,223,0,0,52
815,540,0,0,75
816,93,0,0,57
817,80,0,0,37
818,174,0,0,34
819,103,0,2,115
820,123,0,0,80
821,127,12,1,18
822,204,0,4,4
823,105,0,0,1
824,158,10,0,0
825,162,16,1,4
826,26,21,2,49
827,152,0,5,31
828,195,5,1,25
829,97,1,0,12
830,592,14,0,69
831,101,9,3,51
832,171,19,3,81
833,110,1,0,4
834,84,3,3,38
835,226,18,2,2
836,124,0,1,12
837,418,16,1,56
838,186,2,0,0
839,257,10,1,54
840,239,5,0,29
841,119,0,1,16
842,99,0,0,29
843,148,19,2,79
844,90,21,1,42
845,191,21,0,68
846,285,31,1,31
847,130,9,0,48
848,173,5,0,31
849,96,7,0,48
850,189,16,1,59
851,120,10,0,43
852,146,3,0,51
853,379,10,1,71
854,297,25,1,59
855,91,6,1,31
856,241,205,0,113
857,15,47,0,51
858,66,40,0,61
859,73,2,0,23
860,89,48,0,42
861,245,97,0,139
862,49,17,0,40
863,592,165,0,76
864,92,131,0,78
865,349,13,0,145
