,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,19,98,103,3,9,0,0,0,0,0,0,8,9,0,0
1,13,65,68,4,13,0,0,0,0,0,0,4,22,3,13
2,5,52,50,1,6,0,0,0,0,0,0,2,1,3,1
3,24,62,59,1,8,0,0,0,0,0,0,8,16,3,2
4,57,69,69,0,17,0,0,0,0,0,0,14,29,0,2
5,8,34,26,4,20,0,0,0,0,0,0,4,17,4,2
6,21,35,23,6,22,0,0,0,0,0,0,6,31,6,3
7,5,41,42,0,7,0,0,0,0,0,0,12,18,4,7
8,5,28,24,0,10,0,0,0,0,0,0,8,17,2,10
9,5,9,5,0,31,1,0,0,0,0,0,9,56,1,19
10,36,16,15,3,7,0,0,0,0,0,0,3,17,3,8
11,1,21,15,2,21,0,0,0,0,0,0,1,23,1,16
12,28,26,21,3,8,0,0,0,0,0,0,14,30,11,14
13,28,15,22,0,8,0,0,0,0,0,0,14,9,12,0
14,23,26,28,1,9,0,0,0,0,0,0,3,5,1,8
15,40,53,40,1,11,0,0,0,0,0,0,11,22,3,9
16,11,21,14,5,18,0,0,0,0,0,0,13,28,13,12
17,11,35,32,9,12,0,0,0,0,0,0,1,3,0,15
18,21,20,9,0,18,0,0,0,0,0,0,10,32,11,9
19,12,30,35,3,13,0,0,0,0,0,0,10,27,0,15
20,210,36,42,0,10,0,0,0,0,0,0,8,15,0,1
21,136,19,5,1,21,0,0,0,0,0,0,20,39,2,31
22,1,38,38,2,8,0,0,0,0,0,0,7,22,1,12
23,31,24,15,3,23,0,0,0,0,0,0,20,48,2,15
24,15,28,43,0,26,0,0,0,0,0,0,18,51,2,31
25,2,50,52,1,6,0,0,0,0,0,0,3,5,0,5
26,1,24,18,1,23,0,0,0,0,0,0,19,50,0,15
27,26,300,306,0,13,0,0,0,0,0,0,11,21,1,3
28,14,17,14,6,10,10,9,1,0,12,2,2,3,0,24
29,21,84,72,6,38,13,31,0,0,20,8,5,43,0,3
30,15,88,72,10,30,17,19,0,0,17,14,6,65,7,43
31,11,24,16,2,16,18,46,0,0,44,5,11,33,2,33
32,2,19,15,2,14,9,9,6,0,7,3,3,16,1,18
33,39,35,29,4,13,1,0,0,0,0,0,1,15,2,16
34,23,88,82,8,32,4,0,0,0,0,0,3,22,6,18
35,1,22,7,1,24,11,21,0,0,8,6,6,39,0,36
36,32,22,22,3,7,4,7,2,0,6,0,3,12,2,1
37,5,18,8,5,19,9,20,2,0,6,9,4,21,1,1
38,20,39,33,2,24,21,36,3,0,20,4,7,25,0,23
39,13,27,18,5,43,18,29,5,0,18,11,7,37,22,44
