,0,1,2,3
0,180,0,0,157
1,87,1,0,65
2,77,0,0,46
3,84,0,0,84
4,118,0,0,75
5,71,0,0,55
6,101,0,0,83
7,248,0,0,54
8,279,0,0,82
9,176,0,0,48
10,80,0,0,51
11,221,0,0,37
12,222,0,0,55
13,73,0,0,111
14,79,0,0,76
15,124,0,5,107
16,113,0,3,87
17,613,0,0,118
18,134,0,1,82
19,153,0,0,58
20,522,0,0,136
21,74,0,0,43
22,160,0,0,103
23,244,0,0,18
24,628,0,0,299
25,52,0,0,63
26,64,0,0,82
27,34,0,0,64
28,172,3,0,124
29,143,0,1,120
30,235,0,0,81
31,65,0,0,60
32,67,0,1,70
33,128,0,0,17
34,134,0,0,113
35,63,0,0,37
36,14,285,2,111
37,177,0,0,44
38,110,56,0,78
39,217,78,0,82
40,186,4,0,102
41,235,14,20,214
42,75,1,0,40
43,51,31,0,39
44,29,55,0,45
45,116,19,0,45
46,227,116,0,194
47,376,222,5,101
48,133,168,0,86
49,403,0,0,49
50,190,113,0,105
51,370,103,0,372
52,368,203,0,303
53,225,55,0,130
54,159,40,0,114
55,227,45,0,57
56,85,46,0,86
57,280,147,0,203
58,101,285,0,249
59,116,1,0,25
60,110,49,0,113
61,138,59,0,112
62,0,328,0,1
63,0,216,0,0
64,27,35,0,56
65,297,172,0,260
66,68,254,0,141
67,335,191,0,206
68,0,160,0,0
69,0,321,0,0
70,67,29,0,23
71,28,13,0,158
72,150,39,0,98
73,391,256,0,181
74,3,116,0,38
75,38,12,0,63
76,111,54,0,129
77,595,93,2,258
78,249,96,0,135
79,56,7,0,60
80,205,101,0,71
81,5,138,0,9
82,392,185,1,385
83,69,0,0,42
84,173,29,0,27
85,109,233,6,218
86,306,389,0,223
87,227,471,3,117
88,151,49,0,105
89,260,327,1,167
90,133,127,2,214
91,298,233,0,153
92,456,170,0,332
93,73,31,0,26
94,170,13,0,42
95,783,0,0,32
96,146,13,0,113
97,172,3,0,107
98,89,0,0,29
99,80,0,0,50
100,99,9,7,65
101,141,12,2,87
102,76,5,0,37
103,64,1,0,41
104,66,3,0,60
105,509,5,0,59
106,406,9,0,113
107,448,32,0,185
108,2,57,0,56
109,77,32,0,76
110,627,14,0,110
111,78,29,0,37
112,59,35,0,75
113,273,20,0,95
114,30,92,0,45
115,232,38,0,117
116,1,30,0,73
117,0,43,0,82
118,2,42,0,58
119,197,90,0,244
120,2,41,0,87
121,136,23,0,103
122,293,11,0,146
123,33,29,0,53
124,224,17,0,113
125,300,41,0,50
126,694,37,0,122
127,76,38,0,33
128,50,48,0,151
129,248,35,2,263
130,125,32,0,130
131,162,69,0,260
132,345,27,0,225
133,207,16,0,136
134,131,23,0,164
135,304,31,0,90
136,184,35,0,281
137,108,0,0,53
138,277,31,0,185
139,235,34,1,147
140,37,12,0,73
141,170,2,0,89
142,225,58,6,104
143,288,61,0,153
144,228,17,10,251
145,80,2,0,89
146,75,88,0,96
147,66,37,0,34
148,35,33,0,116
149,45,28,0,45
150,260,70,0,74
151,67,0,0,76
152,255,70,0,140
153,109,33,0,59
154,16,23,27,53
155,78,99,3,89
156,66,28,0,36
157,0,330,0,0
158,46,12,1,59
159,191,32,2,44
160,107,6,0,118
161,284,62,0,75
162,48,26,0,45
163,103,16,0,42
164,384,113,0,46
165,143,36,0,50
166,135,26,0,61
167,173,64,0,64
168,257,69,0,161
169,356,187,0,130
170,222,4,0,60
171,113,46,0,13
172,21,13,0,72
173,467,312,0,174
174,54,30,0,42
175,355,214,0,138
176,403,78,0,56
177,90,10,0,38
178,753,74,0,139
179,541,135,1,233
180,180,13,0,35
181,110,127,0,53
182,447,158,0,129
183,273,49,0,118
184,84,0,0,30
185,56,10,116,351
186,520,7,0,78
187,48,274,0,109
188,241,124,0,84
189,4,73,0,32
190,195,130,0,155
191,105,129,0,94
192,233,123,0,95
193,369,353,0,210
194,80,459,1,286
195,96,13,0,77
196,223,67,0,84
197,41,5,0,69
198,85,10,0,60
199,582,95,0,123
200,86,3,0,46
201,402,142,0,129
202,185,31,0,23
203,377,155,0,201
204,552,182,0,93
205,88,8,0,52
206,73,3,0,47
207,388,126,0,257
208,237,123,0,28
209,167,101,0,95
210,235,28,0,201
211,77,24,0,46
212,55,131,0,95
213,129,68,0,0
214,427,167,1,268
215,465,120,0,142
216,556,206,1,230
217,233,167,0,156
218,318,110,0,145
219,239,54,0,93
220,512,130,0,192
221,74,4,0,40
222,13,6,0,110
223,222,22,0,4
224,584,142,0,98
225,57,6,0,66
226,149,130,0,68
227,49,20,0,44
228,377,281,0,118
229,146,19,0,117
230,404,264,2,169
231,93,7,0,50
232,43,392,18,253
233,76,79,0,34
234,368,42,0,32
235,422,97,0,72
236,33,20,0,111
237,663,163,0,8
238,419,86,0,30
239,623,84,1,181
240,579,112,0,91
241,122,4,0,75
242,140,57,1,33
243,372,86,0,54
244,462,109,0,66
245,97,22,0,42
246,326,87,0,87
247,438,138,0,72
248,145,1,0,46
249,226,9,0,159
250,95,1,0,11
251,250,2,48,19
252,618,196,4,101
253,650,146,1,113
254,353,171,6,68
255,263,39,0,19
256,423,41,0,32
257,489,31,0,54
258,123,51,0,20
259,573,81,1,37
260,367,7,0,25
261,209,57,2,57
262,756,89,0,46
263,302,99,0,87
264,154,126,0,105
265,531,0,0,94
266,118,15,0,71
267,31,39,1,69
268,45,74,0,77
269,65,288,0,93
270,4,166,0,137
271,55,66,0,80
272,179,0,0,26
273,107,2,0,131
274,58,101,0,60
275,183,45,0,182
