,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,33,51,36,4,56,0,0,0,0,0,0,21,100,30,5
1,18,28,19,3,19,1,0,0,0,0,0,14,44,0,0
2,14,25,17,6,16,0,0,0,0,0,0,2,28,4,12
3,14,25,13,8,24,0,0,0,0,0,0,7,46,1,27
4,20,42,32,3,21,0,0,0,0,0,0,16,42,0,18
5,7,24,20,4,16,0,0,0,0,0,0,12,21,3,9
6,7,42,34,1,17,0,0,0,0,0,0,19,41,0,17
7,118,58,42,2,28,0,0,0,0,0,0,9,44,1,1
8,57,85,75,34,28,0,0,0,0,0,0,23,10,0,48
9,13,64,75,5,19,0,0,0,0,0,0,12,33,2,2
10,1,35,30,2,12,0,0,0,0,0,0,10,28,0,14
11,6,106,92,4,13,0,0,0,0,0,0,9,24,0,1
12,28,85,83,4,22,0,0,0,0,0,0,15,34,0,7
13,5,26,17,4,21,0,0,0,0,0,0,26,51,0,27
14,4,24,21,8,22,0,0,0,0,0,0,12,47,1,15
15,19,39,25,7,34,0,0,0,0,0,0,9,56,3,24
16,8,48,32,5,20,0,0,0,0,0,0,16,58,1,5
17,111,234,235,2,32,0,0,0,0,0,0,16,63,4,29
18,81,12,10,17,14,0,0,0,0,0,0,14,37,0,20
19,21,53,40,7,32,0,0,0,0,0,0,11,26,2,16
20,82,208,208,8,16,0,0,0,0,0,0,52,51,0,25
21,15,26,20,3,10,0,0,0,0,0,0,9,14,8,10
22,43,44,39,2,32,0,0,0,0,0,0,23,50,2,29
23,110,55,62,3,14,0,0,0,0,0,0,4,6,0,9
24,123,182,179,70,74,0,0,0,0,0,0,45,172,0,83
25,6,20,15,3,8,0,0,0,0,0,0,18,29,4,13
26,6,22,20,1,15,0,0,0,0,0,0,20,31,17,3
27,3,12,8,4,7,0,0,0,0,0,0,16,22,0,17
28,10,63,60,1,38,3,0,0,0,0,0,33,76,7,5
29,27,53,39,1,23,0,0,0,0,0,0,21,50,1,29
30,42,98,75,3,17,0,0,0,0,0,0,12,37,11,18
31,0,24,16,5,20,0,0,0,0,0,0,9,35,0,17
32,9,29,21,1,7,0,0,0,0,0,0,18,21,0,15
